"",x,y,class,name,href,x_name,y_name,name_anchor,transform,color,stops
0,7.0,38.0,linea2,Cuatro Caminos,#clg-005fff,6.25,38.0,end,rotate(-45),#005fff,['0200L2-CUATROCAMIN']
1,13.0,38.0,linea2,Panteones,#clg-005fff,12.25,38.0,end,rotate(-45),#005fff,['0200L2-PANTEONES']
2,14.0,73.0,linea9,Observatorio,#clg-xf-ff9cce,12.5,73.0,end,,#ff9cce,['0200L1-OBSERVATORIO']
3,18.0,21.0,linea6,El Rosario,#clg-xf-ff0800,19.5,21.0,,,#ff0800,['0200L7-ELROSARIO' '0200L6-ELROSARIO']
4,18.0,26.0,linea7,Aquiles Serdan,#clg-ff8300,17.25,26.0,end,,#ff8300,['0200L7-AQUILESSERD']
5,18.0,29.0,linea7,Camarones,#clg-ff8300,17.25,29.0,end,,#ff8300,['0200L7-CAMARONES']
6,18.0,34.0,linea7,Refineria,#clg-ff8300,17.25,34.0,end,,#ff8300,['0200L7-REFINERIA']
7,18.0,38.0,linea2,Tacuba,#clg-xf-005fff,19.5,38.0,,rotate(-45),#005fff,['0200L7-TACUBA' '0200L2-TACUBA']
8,18.0,45.0,linea7,San Joaquín,#clg-ff8300,17.25,45.0,end,,#ff8300,['0200L7-SANJOAQUIN']
9,18.0,51.0,linea7,Polanco,#clg-ff8300,17.25,51.0,end,,#ff8300,['0200L7-POLANCO']
10,18.0,57.0,linea7,Auditorio,#clg-ff8300,17.25,57.0,end,,#ff8300,['0200L7-AUDITORIO']
11,18.0,63.0,linea7,Constituyentes,#clg-ff8300,17.25,63.0,end,,#ff8300,['0200L7-CONSTITUYENTES']
12,18.0,69.0,linea9,Tacubaya,#clg-xf-92535d,16.5,69.0,end,rotate(45),#92535d,['0200L9-TACUBAYA' '0200L7-TACUBAYA' '0200L1-TACUBAYA']
13,18.0,75.0,linea7,San Pedros de los Pinos,#clg-ff8300,18.75,75.0,,,#ff8300,['0200L7-SANPEDROPINOS']
14,18.0,79.0,linea7,San Antonio,#clg-ff8300,18.75,79.0,,,#ff8300,['0200L7-SANANTONIO']
15,18.0,83.0,linea12,Mixcoac,#clg-xf-fff0b5,16.5,83.0,end,,#fff0b5,['020L12-MIXCOAC' '0200L7-MIXCOAC']
16,18.0,87.0,linea7,Barranca del Muerto,#clg-ff8300,17.25,87.0,end,,#ff8300,['0200L7-BARRANCA']
17,21.0,24.0,linea6,Tezozomoc,#clg-ff0800,21.75,24.0,,,#ff0800,['0200L6-TEZOZOMOC']
18,21.0,41.0,linea2,Cuitlahuac,#clg-005fff,21.75,41.0,,,#005fff,['0200L2-CUITLAHUAC']
19,22.0,65.0,linea1,Juanacatlan,#clg-ff9cce,22.75,65.0,,,#ff9cce,['0200L1-JUANACATLAN']
