stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding
020L12-TLAHUAC,Tláhuac,19.28602,-99.0142,020L12-TLAHUAC,1
020L12-TLALTENCO,Tlaltenco,19.29435,-99.02403,020L12-TLALTENCO,1
020L12-ZAPOTITLAN,Zapotitlán,19.29666,-99.03431,020L12-ZAPOTITLAN,1
020L12-NOPALERA,Nopalera,19.29996,-99.04599,020L12-NOPALERA,1
020L12-OLIVOS,Olivos,19.30432,-99.05951,020L12-OLIVOS,1
020L12-TEZONCO,Tezonco,19.30631,-99.06527,020L12-TEZONCO,1
020L12-PERIFERICOOTE,Periférico Oriente,19.31761,-99.07451,020L12-PERIFERICOOTE,1
020L12-CALLE11,Calle 11,19.32047,-99.08587,020L12-CALLE11,1
020L12-LOMASESTRELLA,Lomas Estrella,19.32215,-99.09575,020L12-LOMASESTRELLA,1
020L12-SANANDRESTO,San Andrés Tomatlán,19.32815,-99.10452,020L12-SANANDRESTO,1
020L12-CULHUACAN,Culhuacán,19.33685,-99.10896,020L12-CULHUACAN,1
020L12-ATLALILCO,Atlalilco,19.35275,-99.10624,020L12-ATLALILCO,1
020L12-MEXICALTZINGO,Mexicaltzingo,19.35776,-99.12314,020L12-MEXICALTZINGO,1
020L12-ERMITA,Ermita,19.359820000000006,-99.14163,020L12-ERMITA,1
020L12-EJECENTRAL,Eje Central,19.36134,-99.15142,020L12-EJECENTRAL,1
020L12-PARQUEVENADOS,Parque de los Venados,19.37066,-99.15872,020L12-PARQUEVENADOS,1
020L12-ZAPATA,Zapata,19.37085,-99.1656,020L12-ZAPATA,1
020L12-HOSPITAL20,Hospital 20 de Noviembre,19.37201,-99.17088,020L12-HOSPITAL20,1
020L12-INSURGENTESSUR,Insurgentes Sur,19.37355,-99.17825,020L12-INSURGENTESSUR,1
020L12-MIXCOAC,Mixcoac,19.3757,-99.18673,020L12-MIXCOAC,1
0200LB-BUENAVISTA,Buenavista,19.44619,-99.15235,0200LB-BUENAVISTA,1
0200LB-GUERRERO,Guerrero,19.44514,-99.14614,0200LB-GUERRERO,2
0200LB-GARIBALDI,Garibaldi y Lagunilla,19.44389,-99.13787,0200LB-GARIBALDI,2
0200LB-LAGUNILLA,Lagunilla,19.44322,-99.13023,0200LB-LAGUNILLA,2
0200LB-TEPITO,Tepito,19.44279,-99.12407,0200LB-TEPITO,2
